Report Date,ROIC (%),Gross Margin %,R&D as % of Revenue,Free Cash Flow
9/28/2025,0.287699048,0.744765714,0.063026667,20983380952
12/27/2025,0.305564762,0.753126429,0.048754167,22599970238
